Image#,Blur-Teacher SSIM,Blur-Student SSIM,Blur-GT SSIM,Student-GT SSIM
0.jpg,0.9822,0.9652,0.9016,0.9219
1.jpg,0.9832,0.9621,0.9779,0.9652
10.jpg,0.8312,0.7865,0.7869,0.9586
100.jpg,0.9895,0.9801,0.9270,0.9375
101.jpg,0.9901,0.9790,0.8896,0.8996
102.jpg,0.9848,0.9746,0.9374,0.9417
103.jpg,0.9840,0.9756,0.8749,0.8808
104.jpg,0.9885,0.9767,0.9586,0.9645
105.jpg,0.9853,0.9875,0.7966,0.8094
106.jpg,0.9899,0.9801,0.9804,0.9726
107.jpg,0.9871,0.9838,0.9381,0.9448
108.jpg,0.9877,0.9828,0.8698,0.8908
109.jpg,0.9591,0.9297,0.9114,0.9395
11.jpg,0.9848,0.9748,0.9280,0.9304
110.jpg,0.9891,0.9815,0.9647,0.9680
111.jpg,0.9833,0.9624,0.9726,0.9638
112.jpg,0.9849,0.9596,0.9880,0.9717
113.jpg,0.9884,0.9807,0.8456,0.8701
114.jpg,0.9788,0.9726,0.8444,0.8621
115.jpg,0.9836,0.9797,0.8845,0.8961
116.jpg,0.9794,0.9470,0.9793,0.9619
117.jpg,0.7688,0.7109,0.7100,0.9576
118.jpg,0.9700,0.9418,0.9540,0.9538
119.jpg,0.8627,0.7794,0.7721,0.8567
12.jpg,0.8437,0.7991,0.8061,0.9516
120.jpg,0.9877,0.9777,0.9128,0.9276
121.jpg,0.9897,0.9761,0.9093,0.9202
122.jpg,0.9799,0.9861,0.8824,0.8951
123.jpg,0.9862,0.9806,0.8742,0.8859
124.jpg,0.9786,0.9724,0.9536,0.9639
125.jpg,0.9873,0.9687,0.9610,0.9476
126.jpg,0.9865,0.9764,0.8980,0.9166
127.jpg,0.9151,0.8993,0.8720,0.9596
128.jpg,0.9886,0.9811,0.9915,0.9823
129.jpg,0.9814,0.9716,0.8557,0.8666
13.jpg,0.9625,0.9333,0.9720,0.9700
130.jpg,0.9850,0.9790,0.9017,0.9174
131.jpg,0.9893,0.9819,0.9725,0.9711
132.jpg,0.9910,0.9816,0.9811,0.9740
133.jpg,0.9727,0.9382,0.8477,0.8733
134.jpg,0.9867,0.9719,0.9833,0.9719
